headword	text	sense1	sense2	sense3	sense4	sense5	sense6	sense7
bank-n	We heavily favour CZK to PLN and HUF, given the inherent dovish bias of Poland and Hungarian central banks versus the Czech national <bank>.	a1.s1	a2.s1	a3.s1	a4.s2	a5.s1	a6.s1	a7.s1
bank-n	Confident that his picnic partner was safe, he covered the brief distance to the low <bank> above the stream.	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s3
bank-n	I don't think that any person who gets admission in a good B School will not get education loan from any <bank> in India.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	The site is located on a terrace above the north <bank> of the New River, about 0.5 miles (0.80 km) outside Austinville.	a1.s2	a2.s2	a3.s2	a4.s2	a5.sx	a6.s2	a7.s2
bank-n	Personal Checks will only be accepted with valid drivers license and must clear the <bank> before title will be signed over.	a1.s1	a2.sx	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	After what seemed to be an eternity, I wrestled the bronze fish onto the <bank>.	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s2
bank-n	I want to do an electronic transfer via my <bank> but my brother wants me to send him a cheque so that he can shop about for the best deal to get the best exchange rates etc. I do not believe that sending a cheque is secure although my brother insists he wants it sent this way.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	The bank, which issued the card and PIN to the account holder, is known as the issuing bank while the <bank> responsible for initially acquiring the transaction from the user (i.e., the account holder or customer) is known as the acquiring bank.	a1.sx	a2.sx	a3.sx	a4.sx	a5.sx	a6.sx	a7.s1
bank-n	The ratio of currency outside <banks> to broad money supply declined in the early parts of 2007 increasing slightly from May 2007 indicating a slight deterioration in the financial intermediation of the economy.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	There is no link between positive results in the profit and loss forecast and cash in the <bank>.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	You'll know you're right if there is money inside the piggy <bank> – the one that is wrong has a zonk.	a1.s1	a2.s11	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	So, for example, mid corporates, if you are a <bank> like HSBC, they have lots of small mid corporates and I don't want to say much, but they may have room for profits that maybe some other banks who don't have those clients do.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	The bank, which issued the card and PIN to the account holder, is known as the issuing <bank> while the bank responsible for initially acquiring the transaction from the user (i.e., the account holder or customer) is known as the acquiring bank.	a1.sx	a2.sx	a3.sx	a4.sx	a5.sx	a6.sx	a7.s1
bank-n	What exactly is a <bank> versus a commercial bank versus an investment bank?	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	US Treasury Secretary warns banking institutions to be wary of terror financing via Iranian <banks>.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Jun bad credit unsecured personal loans citi, chase and wells fargo offer chase and wells fargo offer personal loans while <bank> of america declines will apply a very high interest rate to a bad credit loan as.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Over time, more and more roots were encouraged from <bank> to bank and interwoven to create strength and stability.	a1.sx	a2.sx	a3.sx	a4.s1	a5.sx	a6.sx	a7.s1
bank-n	While opening an account with a conventional <bank> requires numerous steps including remembering new account numbers, opening a current bank account, and processing a one-time pass word device (OTP) in sequence, the process of opening a Kakao Bank account has been simplified into entering a verification code on a bank transfer memo with 1 won transferred to the new account.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Now they can purchase dollars from <banks> since the banks can purchase dollars in large quantities from export companies.	a1.sx	a2.sx	a3.sx	a4.sx	a5.sx	a6.sx	a7.s1
bank-n	How big is the <bank> account to pay for cleanup when the authorities find out.?	a1.s1	a2.s12	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Respondents were a mix of salaried and business owners- all with savings accounts across various <banks>, Kantar stated adding that the time frame of undertaking the social analytics was from January 2020 to June 2021.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	For instance, there is stiff competition among <banks> selling largely commoditized commercial lending products.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Based on this information you are either approved or declined to borrow money from the <bank>.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Though not found in the area covered by this survey as yet, one individual was captured on the south <bank> of Ballona Creek, one mile north of Playa del Rey, on March 13, 1932, by the writer.	a1.s2	a2.s2	a3.s2	a4.s1	a5.sx	a6.s2	a7.s1
bank-n	Managing to see Pygmy elephants on the <banks> of the river in Sandakan.	a1.s2	a2.s7	a3.s2	a4.s2	a5.s2	a6.s2	a7.s3
bank-n	As far as the agricultural community are concerned, every Member of this House who has an agricultural background will be able to recall silage pits located on river <banks>.	a1.s2	a2.s2	a3.sx	a4.s2	a5.s2	a6.s2	a7.s3
bank-n	Look for clear water to drift, cast toward the <bank> and you'll most often pull in a rainbow in no time.	a1.s2	a2.s2	a3.sx	a4.s2	a5.sx	a6.s2	a7.s3
bank-n	The horses scrambled up the muddy <bank> much as if they were merely breaking out of a pasture, but probably all the men felt a sudden tightening of their muscles.	a1.s2	a2.s7	a3.s2	a4.s2	a5.s2	a6.s2	a7.s2
bank-n	LifeSouth Cord Blood Bank is a community-based public cord blood <bank> that collects and stores umbilical cord blood for the purpose of clinical cures and basic research in the field of stem cell transplantation.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	It explains how the European Union was set up without a political union, with a currency like the 1920's gold standard and without a central <bank> like the US Federal Reserve capable of recycling surpluses.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Fixed deposits While <banks> have been slashing FD rates, the government in April too had slashed small savings rates by up to 140 basis points with effect from the first quarter of 2020-21.	a1.s1	a2.sx	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Cost of lawyer will eventually fall on the <bank> if the bank is found to be in the wrong.	a1.sx	a2.sx	a3.sx	a4.sx	a5.sx	a6.sx	a7.s1
bank-n	It may rather be a launch at their Southwick shipyard located on the river's north <bank> roughly opposite Laings.	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s2
bank-n	He resigned in 1919 and moved to Marysville to establish the C. H. Wills & Company on the <banks> of the St. Clair River.	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s3
bank-n	We are located 3 miles west from Durham City where you can visit the wonderful Cathedral and Castle or stroll along the <banks> of the River Wear.	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s3
bank-n	We have a joint checking account with a US <bank>.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	I wanted the realtor to talk to the bank since the <bank> was paying them the full 6% commission, but its tough getting the realtor to be tough with the loss mitigation rep.	a1.sx	a2.sx	a3.sx	a4.s1	a5.sx	a6.sx	a7.s1
bank-n	Americanwest Bank is a commercial <bank> located in Washington, and has 69 branches and offices.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	"The TSA's unified system of bank accounts domiciled in the Central Bank of Nigeria has proven to be far more transparent and cost-effective than the old scenario in which government agencies maintained thousands of accounts across various commercial <banks>.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	But Ratteree was casting toward the <bank> with a small, lead-headed jig for the 1- to 1-1/2-pound white bass.	a1.s2	a2.s2	a3.sx	a4.s2	a5.sx	a6.s2	a7.s3
bank-n	But no matter how you set it up, the odds favor the <bank> because the bank knows more about the paper than the buyer of last resort.	a1.sx	a2.sx	a3.sx	a4.sx	a5.sx	a6.sx	a7.s1
bank-n	It's no secret that big lenders – <banks> like Wells Fargo, Bank of America and Citibank – favor large businesses with proven track records when it comes to loans.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	The ancient Nile has gone through many changes from the times that Yosef and Moshe walked along its <banks>, but it remains the defining feature of Egyptian civilization.	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s3
bank-n	AIG in effect issued pseudo 'insurance' for the hundreds of billions of dollars in new Asset Backed Securities (ABS) that Wall Street firms and <banks> like Citigroup, Goldman Sachs, Deutsche Bank, Barclays were issuing, including Sub-prime Mortgage Backed Securities.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	The pivotal altitude does not vary with the angle of <bank> unless the bank is steep enough to affect the groundspeed.	a1.sx	a2.sx	a3.sx	a4.sx	a5.sx	a6.sx	a7.s1
bank-n	Yes, But u have two loans one from SBI & another from BOI, first of all if u top up ur home loan from SBI then bank consider ur income. u have two home loan so <bank> consider both EMI added if it is more than 60% of ur per month salary then ur not eligible but less than that then ur eligible for that percent of EMI & u will top up ur home loan.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	She said the management and computer clerks were kept hostage inside the <bank>.	a1.s1	a2.s10	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	The boats taking the right and left of the Amazon lay alongside the <banks>.	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s3
bank-n	Southern Community Bank was taken into FDIC receivership after the close of business yesterday, making it the seventh Georgia <bank> to be closed in 2009.	a1.sx	a2.s1	a3.sx	a4.sx	a5.sx	a6.sx	a7.s1
bank-n	He went to speak to Mr. Matadial in relation to the loan since the <bank> had sued him.	a1.s1	a2.s5	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	The surrounding countryside is hilly, and the river carved its bed through the hills leaving terraces above its <banks>.	a1.s2	a2.s2	a3.s2	a4.s2	a5.sx	a6.s2	a7.s2
bank-n	Money order or Cashiers check will be accepted, if paying by personal check it would have to clear the <bank> before bike can be taken!	a1.sx	a2.sx	a3.sx	a4.sx	a5.sx	a6.sx	a7.s1
bank-n	One of our favorite plays on secular rise in Indian incomes has been private Indian <banks> like ICICI (IBN) & HDFC (HDB).	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	The Old Royal Naval College stands best on the <banks> of River Thames.	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s3
bank-n	Bank card holders from <banks> like HDFC, SBI, Axis, ICICI, or any other major banks now get a chance to avail discounts up to 10% on making any transaction using debit or credit cards of these banks.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Wave after wave, they formed a veritable river of humanity that flowed onto the <banks> of the Ganges at Allahabad to celebrate the greatest spiritual festival ever held in the history of the world, the Kumbha Mela."	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s3
bank-n	Warmer air holds more moisture and means rain can come more often and for longer periods, and so it did, the rain came and it stayed, and the Mississippi River swelled beyond its <banks>.	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s3
bank-n	The extent of progress and the degree of government involvement differ among countries, however, and are influenced by the share of corporate debt held by domestic <banks> versus foreign banks, whether domestic banks are institutionally strong enough to engage in active restructuring, and which sector the bad loans are concentrated in (real estate, commodity production, or manufacturing).	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	You have as much change of getting a loan of the IMF post 2013 as you have of getting a loan off a domestic <bank>.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Apply for home loans, property loan, bank equity home loan through state <bank> of india with the best housing home loan for nri home loan providers banks no cap on maximum loan amount for purchase construction of house flat.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	There are ATM (cash) machines outside most <banks> in Ireland.	a1.s1	a2.s4	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Let's say you are a <bank> like J.P. Morgan, a huge broker with deep, deep, pockets.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Much more likely is that when we do indeed reach a full-blown top in the silver market that the traditionally largest hedgers and short sellers of futures (the Producer/Merchants in the disaggregated COT which includes bullion <banks> like JP Morgan Chase and HSBC) will then have an extraordinarily large net short position.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	You can borrow money from the <bank> and invest in shares or even bet it at the race track or baccarat.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Periyar Wildlife Sanctuary is situated on the <banks> of the Periyar Lake.	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s3
bank-n	Furthermore, the initiative asked that when money is created by the state, it should be used in the public interest and not for bailing out commercial <banks> or real estate companies.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	I have a fixed deposit with <bank> for three years and I am a salaried person.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	It's also about transactions between <banks>, like moving money from domestic accounts to offshore bank accounts.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Monetary policy used by The Central Banks caused the economy to thrive from the recession by utilizing the discount rate that bails out commercial <banks>.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	The accident occurred while a shooting match was going on along the <banks> of the river, about 1/2 mile above the paper mill, near the head of the mill race.	a1.s2	a2.s7	a3.s2	a4.s2	a5.s2	a6.s2	a7.s3
bank-n	None of them have bailed out Wall Street firm after Wall Street firm, and <bank> after bank, claiming they're doing right for the American people for doing so.	a1.sx	a2.sx	a3.sx	a4.s1	a5.sx	a6.sx	a7.s1
bank-n	India's best network will now be known as Airtel payment <bank> or Airtel bank, as the company with the new move will help customers to easily open a savings account at the Airtel retail outlets to boost the economic and financial condition of the country.	a1.sx	a2.s2	a3.sx	a4.sx	a5.sx	a6.sx	a7.s1
bank-n	In March 2011, nearly two out of three U.S. consumers (64 percent) surveyed on behalf of Bankrate Inc. said they'd consider switching banks if their <banks> raised checking account fees.	a1.sx	a2.sx	a3.sx	a4.sx	a5.sx	a6.sx	a7.s1
bank-n	So there is plenty of competition amongst domestic <banks> as well.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	McKethan Lake Recreation Area is part of Florida's Withlacoochee State Forest public recreation section, located along the <banks> of the 57-acre lake of the same name.	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s3
bank-n	The government has maintained that Rajasthan has seen improvement due to improved performances of public sector <banks> while private banks and NBFCs contributed to the growth in Gujarat.	a1.sx	a2.sx	a3.sx	a4.sx	a5.sx	a6.sx	a7.s1
bank-n	The all-aluminum engine has four valves per cylinder and twin overhead camshafts per <bank>.	a1.s3	a2.s13	a3.s4	a4.s1	a5.s3	a6.s4	a7.s5
bank-n	Suspect customers deliberately opened an account at the private <bank> to escape strict supervision.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Regulation setting the levels of capital financial institutions like <banks> must hold against risk should correctly reflect the lower risk of long-term efficiency investments, it recommended.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	The boat moors along the <bank> opposite the town during dinner, which includes a selection of typical Lao dishes.	a1.sx	a2.s2	a3.s2	a4.s2	a5.sx	a6.sx	a7.s3
bank-n	All payments must clear my <bank> before title and car are released. certified check personnel check Cashor money order. but again they must clear my bank before anything leaves my possession.	a1.s1	a2.sx	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	The mill was built in the middle of Nordelph Fen and was almost certainly constructed to work in tandem with Nordelph Well Creek drainage mill on the <bank> of Well Creek.	a1.s2	a2.s2	a3.s2	a4.s1	a5.sx	a6.s2	a7.s1
bank-n	After another scramble down a steep sandy <bank>, we had lunch back at the riad and then spent the afternoon exploring the village.	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s2
bank-n	Upon not able to reach person spoken to over a week, new person told me to "trust" them to fix situation, and resubmit for a whole new act....pretty sad...for a BIG <bank> like Citibank....if they mess up again, I will not open an account there.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	It's clear that today the battle rages on between those who ardently believe that large <banks> like JPMorgan are actively suppressing the price of silver, and those who view silver manipulation as a misguided conspiracy theory not grounded in the truth.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	This engine consisted of six banks of cylinders, each with four cylinders per <bank>.	a1.s3	a2.sx	a3.s4	a4.s4	a5.s3	a6.s4	a7.s5
bank-n	I've heard stories from the old "net fishermen" that back in the day when they were Gill Netting, Coyotes would pull the end stake of the net up and drag the Gill Net and all the fish onto the <bank> and devour them.	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s2
bank-n	Due to the rising competition among public sector <banks> are planning to boost up their retail business which includes auto, home, education and personal, they might cut down their interest rates to entice more customers.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	ICOs by blockchain start-ups are emerging as an alternative route to funding instead of traditional financing via <banks> or venture capital.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	The fund will continue to own the <bank> until the bank is sold to new owners.	a1.sx	a2.sx	a3.sx	a4.sx	a5.sx	a6.sx	a7.s1
bank-n	Now, a famed river is flowing over its <banks>.	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s3
bank-n	SK: We like the strong management, share structure, shareholder base and the amount of cash in the <bank>.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	CN ) (3)Money and quasi money comprise the sum of currency outside <banks> demand deposits other than those of the central government and the time savings and foreign currency deposits of resident sectors other than the central government.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	While <Banks> vs. Belair seems likely to main event Night 1 of WrestleMania, the WWE Championship match between Bobby Lashley and Drew McIntyre could earn that distinction instead.	a1.s1	a2.sx	a3.s1	a4.sx	a5.s5	a6.s1	a7.s2
bank-n	That is a story about, you guessed it, four kids that decide to rob a <bank>.	a1.s2	a2.s8	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Not only is Mark Twain a consummate storyteller but he is a master of giving voice to the people of the village of St. Petersburg, of allowing the reader to enter their lives and feel what it was like to live along the <banks> of the Mississippi in the mid nineteenth century.	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s3
bank-n	In 1777 a mighty storm caused the River Holme to swell and flood over its <banks> in Holmfirth, sweeping away people and property, including the parish church.	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s3
bank-n	Cuscatlan: this was a pretty good bank until CITI <bank> took over.	a1.sx	a2.sx	a3.sx	a4.sx	a5.sx	a6.sx	a7.s1
bank-n	Awwright, which one of you guys will bust open his piggy <bank> and buy that Griffin-Senoia section outright from NS ?.....then you can run a first class tourist line operation for the good Atlanta area folks....bring back the Man-O-War ! (abeit a little East of where it actually ran...) Sweet sounding F units storming through Brooks....	a1.s1	a2.s12	a3.s3	a4.s3	a5.s1	a6.s3	a7.s1
bank-n	On 13th October, in an attempt to halt the continuing credit crisis, the British government bails out three <banks>, shoring up the Royal Bank of Scotland, HBOS and Lloyds TSB with £37 billion of taxpayers' money.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	In 2016, President Barack "Yes, We Can – Bail out the <Banks>!"	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	You may have heard the "left <bank> vs. right bank" debate from Bordeaux drinkers, yet most won't turn down a great wine from either side.	a1.s1	a2.s5	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Bove warned that <banks> like Goldman Sachs may never again see growth rates in excess of 10%.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Aug. 19 " Wednesday Rain at times - blows hard - people carring firewood up the <bank>."	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s2
bank-n	It is no wonder that (at least in New York) only national banks make these loans; State laws and banking regulations prohibit such high interest rates so only <banks> not subject to these rules can offer such predatory products.	a1.s1	a2.sx	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	I think the way the Fed is going to do it is, they'll go for another round of Stealth Monetization: Buying MBS and other toxic assets off the <banks> for newly conjured cash, the banks then taking that cash and parking it in Treasuries, thereby funding the Federal government's deficit.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Prior to mid 2007, regional banks securitised around one-third of their housing loans while the major <banks> securitised less than 10 per cent.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Last Dec, he did not pay the banks so the <bank> sent out letters saying they were the new owners, 2 days later, chi was the owner again, unfortunately.	a1.sx	a2.sx	a3.sx	a4.sx	a5.sx	a6.sx	a7.s1
bank-n	If you want to make sure he's always getting his share of the rent and utilities to you on time without nagging him, you can set up recurring monthly transfers via his <bank>, PayPal or Venmo.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	So back to the main road and a scramble up the grassy <bank>, through the small wooded (...	a1.s2	a2.s2	a3.sx	a4.s2	a5.s2	a6.s2	a7.s2
bank-n	On the other hand, ATMs inside a <bank> are more secured instead of a standalone machine outside.	a1.s1	a2.s4	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Sample / PaaxPaax is a VSTi (Virtual Instrument) sampler with the functionality of many fancy software and hardware samplers, yet quite easy to use and, best of all, it is freeware! - Up to 128 presets per <bank>. - Up to 84 splits per preset and 4 velocity-triggered samples per split. - 32 simultaneous voices.	a1.s5	a2.s1	a3.s4	a4.sx	a5.s1	a6.sx	a7.s7
bank-n	That means that through securitization, whether held off or on a <bank's> balance sheet, capital buffers could be minimized and more loans could be handed out.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	The credit is extended by the foreign central <bank> against the collateral that each accepts, and the interest generated from those transactions is returned to the Federal Reserve.	a1.s1	a2.s1	a3.s1	a4.s2	a5.s1	a6.s1	a7.s1
bank-n	1796cc 4 cyl twin cam and 4 valves per cylinder petrol with 120ps for the base 120 model, and 160ps for the 160 1.8T model 2497cc V6 twin cam per <bank> and 4 valves per cylinder petrol with 160 ps for the original 160 model, and 190ps for the sporting 190 models 1997cc 4 cyl twin cam, 4 valves per cylinder diesel with 116 in the CDTi models, and 131ps in the CDTI 135 models.	a1.s3	a2.sx	a3.s4	a4.s4	a5.s1	a6.s4	a7.s5
bank-n	The kid did not feel that he was taking any risk, but all his life he had been drilled in caution, so he went sneaking along, keeping close under the <bank> and stopping every few feet to listen and peer ahead.	a1.sx	a2.sx	a3.sx	a4.s2	a5.sx	a6.sx	a7.s2
bank-n	She reminded us of the threat to introduce Government Bond Notes to replace the US dollar; we had noticed the huge queues outside <banks> earlier that day.	a1.s1	a2.s9	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Recommendation – The Center should establish procedures to ensure cash and investment balances per the <bank> are reconciled monthly to the general ledger.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Those charges might come in many forms, from upfront fees to promises to keep deposits at the <bank> for certain lengths of time.	a1.s1	a2.s12	a3.sx	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	The following year saw a combined operation planned by Constantius to regain control of the Rhine from the Germanic peoples who had spilt across the river onto the west <bank>.	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s3
bank-n	Confidence is like writing a check knowing that there is money in the <bank>.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	The microfilm reels are generally organized by date (although reel numbers are not assigned chronologically) and by state member bank vs. national <bank>.	a1.s1	a2.s11	a3.s1	a4.sx	a5.s1	a6.s1	a7.s1
bank-n	Such negative spirals lead to fewer deposits in <banks>.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	We also fished off the <bank> trying to catch carp to use for yabby bait, but had hard time fishing through the tandanus catfish.	a1.s2	a2.s6	a3.s2	a4.s2	a5.s2	a6.s2	a7.s3
bank-n	It is safer to withdraw money inside a <bank> or a shopping center in the daytime.	a1.s1	a2.s11	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	"Today, another bank CEO pleads guilty to committing fraud against the bank while the <bank> was in TARP," said Special Inspector General Christy Goldsmith Romero.	a1.sx	a2.sx	a3.sx	a4.sx	a5.sx	a6.sx	a7.s1
bank-n	Last week, Thailand's oldest and largest <bank> by market capitalization, Siam Commercial Bank, joined the aforementioned banks by announcing its intention to acquire a 51% stake in Thailand-based crypto exchange Bitkub.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Instead they are leaving it intact, to carry on as before, while relying on central <banks> like the Federal Reserve and the Bank of England to keep bankers afloat.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	However, my medical school classmates here in British Columbia have not had any difficulty in arranging either student loans via <banks>, or obtaining lines of credits from the same financial institutions.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	This work has subsequently shaped UK financial inclusion policy, resulting directly in the introduction of basic bank accounts and the successful achievement of a shared government-banking industry target to halve the number of adults in households without a <bank> account (from two million to 890,000).	a1.s1	a2.s12	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Though their home was beautifully situated upon the <banks> of the Mississippi, with a lovely green lawn sloping down from the house to the river bank, with flowers and shrubbery, and the view from the water was most charming, neither my ambition nor my fancy would lead me in that direction; for he had neither education, polish or wit.	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s2
bank-n	Located on the <banks> of the Fitzroy River, Quest Rockhampton offers self-contained accommodation with river, city or mountain views.	a1.s2	a2.s2	a3.sx	a4.s2	a5.s2	a6.s2	a7.s3
bank-n	Together we scramble down the <bank> to a green-grass meadow.	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s2
bank-n	Goldman Sachs Group Inc., the sixth-biggest U.S. <bank> by assets, plans to raise $5 billion to repay (code words for DILUTE currently beat up shareholders, many of whom are nursing 50% losses already) U.S. government rescue funds (Hmmm!	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	They're guaranteed by the federal government, up to $250,000 per depositor per <bank>.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Does not help that I still have 75$ I haven't deposited into my <bank> yet.	a1.s1	a2.s1	a3.sx	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	The article has 2 contrary statements - The history section states that " the <bank> was the second Philippine bank during the Spanish era" where as the firsts section in the bottom states that " BPI is the first bank in the Philippines, and in Southeast Asia."	a1.sx	a2.sx	a3.sx	a4.sx	a5.sx	a6.sx	a7.s1
bank-n	Cash in person, US cashier check will have to clear the <bank> before vehicle is released with no exception.	a1.sx	a2.s2	a3.s2	a4.s2	a5.sx	a6.sx	a7.s1
bank-n	However, even an independent central <bank> does not operate in a political vacuum.	a1.s1	a2.s1	a3.s1	a4.s1	a5.sx	a6.s1	a7.s1
