headword	text	sense1	sense2	sense3	sense4	sense5	sense6
kroon-s	Postimees (2006) 25. märts, lk. 11 Baltic Rail Services (BRS) soovib jätta riigi ilma vetoõigusest Eesti Raudtees ning on esitanud riigi vastu nõude miljardi <kroonini> ulatuva kahju hüvitamiseks	a1.sx	a2.s2	a3.s1	a4.s1	a5.sx	a6.sx
kroon-s	Kõige <krooniks> võib mürki võtta, et otsene ülemus on jätnud töölauale vähemalt kolm kurja kirja ning arvuti elektronpostkast on igasugu õelaid viiruseid kuivalt täis.	a1.sx	a2.sx	a3.sx	a4.s1	a5.sx	a6.sx
kroon-s	Demokraatias on üks mees – üks hääl, turul on üks hääl dollar, <kroon> või euro, seal pole inimesed võrdsed.	a1.s2	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Kohtuvaidluse eellugu algab 1994. aasta veebruarist, kui Rahvapank laenas AS Primexile 2 miljonit <krooni> intressiga 30%.	a1.s2	a2.s2	a3.s1	a4.s5	a5.sx	a6.s1
kroon-s	Ta soovitab Eesti valitsusel mitte idealiseerida eurot, vaid arutada objektiivselt võimalust Eesti <kroon> devalveerida, nagu seda on juba teinud mõned Skandinaaviamaad oma valuutadega.	a1.s2	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	<Krooni> paneb Laetitia Saderi leelotav ümin ja märkamatult lisanduv drum'n'bass.	a1.sx	a2.sx	a3.sx	a4.s1	a5.sx	a6.sx
kroon-s	Josingu kolleeg, konjunktuuriinstituudi vanemteadur Leev Kuum ennustab siiski, et aasta lõpuks on bensiini 95 eurohind taas alla 11 <krooni> liitrilt.	a1.s2	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Veeteede ameti peadirektori asetäitja Arvo Veskimets ei soostunud avaldama jäämurdja rendihinda, kuid sõnas, et päevaraha ulatub sadadesse tuhandetesse <kroonidesse>.	a1.sx	a2.s2	a3.s1	a4.s1	a5.s2	a6.s1
kroon-s	Vakkum ütles, et pankrotimenetlus on kummaline, sest Keila Terko jõudis tänavu esimese poolaastaga 6,4 miljoni <krooniga> kasumisse.	a1.s2	a2.s2	a3.s1	a4.s1	a5.sx	a6.sx
kroon-s	Ja kasutab oma rahasid tööalaselt krt evelin ilves on presidendi abikaasa kes saab suurt palka kas töesti peab iga aasta sada tuhat ja peale <krooni> laristama maksumaksja raha mingite kleitide ja 3500 eur ehete peale ptsi astuge tagasi rsk täiesti siiber on sellistest huijaritest	a1.sx	a2.s2	a3.sx	a4.s1	a5.sx	a6.sx
kroon-s	Siin on mootorikütuseaktsiisi määrad <kroonides> liitri kohta ja kroonides kilogrammi kohta ning on toodud nende koefitsiendid.	a1.s2	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Ka suurendati (pange tähele!) renti - 1,2 <kroonini> ruutmeetrilt.	a1.s2	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Ida-Virumaa meeskonna eelarve jääb praegu 200 000 <krooni> piirimaile.	a1.sx	a2.s2	a3.s1	a4.s1	a5.sx	a6.sx
kroon-s	"Kui tuleb maksta ka ümbruskonna infrastruktuuri arenguks vajaminev 134 miljonit krooni, kujuneb ruutmeetri hind juba umbes 20 000 <krooni> suuruseks," ütles ta.	a1.sx	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Eesti Panga presidendi Andres Lipstoki kinnitusel vahetavad krediidiasutused vähemalt kuus kuud pärast üleminekupäeva kroone eurodeks keskkursiga ja ilma teenustasudeta, et tagada sujuv üleminek <kroonilt> eurole.	a1.s2	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Selle firma üleminek oligi väidetavalt 11 miljoni <krooni> suuruseks pistiseks Kangurile.	a1.sx	a2.s2	a3.s1	a4.s1	a5.s2	a6.s1
kroon-s	Diplom on taanikeelne ning sellega käib kaasas auhinnaraha (600 000 Taani <krooni> ehk 80 000 eurot) ja taani kunstniku Maja Lisa Engelhardti monotüüpia.	a1.sx	a2.s2	a3.s1	a4.s4	a5.sx	a6.s1
kroon-s	"See võiks vähemalt 500 <kroonini> tõusta, mõni inimene tuleks aastas ehk korragi hambaarsti juurde," lisas Pilisner.	a1.sx	a2.sx	a3.sx	a4.s1	a5.sx	a6.sx
kroon-s	Aveliina Helm: peame lõpetama looduse <krooni> vaatenurga ja asetama ennast süsteemi	a1.s3	a2.sx	a3.s4	a4.s8	a5.s3	a6.s3
kroon-s	Nõmme linnaosa valitsus on Tehot trahvinud juba 55 000 <krooni> ulatuses, teatas Delfile Nõmme innaosa valitsus.	a1.s2	a2.s2	a3.s1	a4.s1	a5.s2	a6.sx
kroon-s	Selle väärtuseks oli 0,403226 grammi puhast kulda, nagu ka järgnenud Eesti <kroonil>.	a1.sx	a2.sx	a3.sx	a4.s2	a5.sx	a6.sx
kroon-s	Suurim probleem on peaaegu 2000 <kroonini> küündiv aku hind, mis on kaks korda kallim standardaku maksumusest.	a1.sx	a2.sx	a3.s1	a4.s1	a5.s2	a6.s1
kroon-s	"Üleminek <kroonilt> eurole toimub sellesama kindla kursi järgi, mida oleme aastaid hoidnud.	a1.s2	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Teist kohtumist järjest oli algkoosseisus oma kasvandikust parempoolkaitsja Christoph Moritz, kelle seekordse etteaste <krooniks> jäi ka avavärav.	a1.s5	a2.sx	a3.s4	a4.s1	a5.sx	a6.sx
kroon-s	Linnavolikogu käest saadud 200 000 kroonist maksab prefektuur neile selle eest 50 <krooni> tunnis, abipolitseinik võib sama tööga teenida 40 krooni.	a1.sx	a2.s2	a3.s1	a4.s1	a5.sx	a6.sx
kroon-s	Vastavalt kogudusega sõlmitud kokkuleppele tõuseb käesoleva aasta augustis renditasu 45.000 <kroonini> kuus.	a1.sx	a2.sx	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Rahandusministeeriumi pressiesindaja sõnul on haridusministeerium järgmiseks aastaks esitanud ka taotluse vajaliku 57 miljoni <krooni> saamiseks, et töövihikud kinni maksta.	a1.sx	a2.s2	a3.s1	a4.s1	a5.s2	a6.sx
kroon-s	Õlgpreparatsiooni äärelõige fassaadkroonide ja metallokeraamiliste <kroonide> preparatsioonide puhul teostatakse erinevate teemantidega, mille määrab ligipääsetavus preparatsiooni kohale.	a1.s1	a2.s1	a3.s2	a4.s1	a5.s1	a6.s2
kroon-s	On küsitav, et teaduse ja tehnoloogia arendusega tegelejad Eestis suudavad järgmise kolme aasta jooksul ära kasutada 671 miljoni <krooni> ulatuses EL-i projektitoetusi.	a1.s2	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Oleme kokku pannud kaks rändnäitust, millest üks, "Eesti raha margast <kroonini>", annab ülevaate Eesti raha ajaloost ning teine, "Euroraha", räägib eurost ja euroalast ning tutvustab põhjalikumalt europangatähtede turvaelemente.	a1.s2	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Eestisse sõites võtan tavaliselt eurosid kaasa, mis Swedpankas <kroonideks> vahetan.	a1.s2	a2.s2	a3.s1	a4.s1	a5.s2	a6.s1
kroon-s	2) paragrahvi 57 lõikes 2 asendatakse sõnad 3 <krooni> sõnadega 0,19 eurot;	a1.s2	a2.sx	a3.sx	a4.s6	a5.sx	a6.s1
kroon-s	Alustada võib kasvõi sellest, et külapoe juures on kuulutuste tahvel, kui keegi tahab sinna kuulutusi üles panna on vaja maksta kindlat tasu seto kroonides (eurodes maksmise võimalust ei tohi olla), kui kellelgi seto kroone ei ole, siis pole tal muud võimalust kui leida keegi kes vahetaks talle seto <kroone> eurode vastu.	a1.sx	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Nael maksis eile 20,2384 Eesti <krooni> võrrelduna 20,7608 krooniga esmaspäeval.	a1.sx	a2.s2	a3.s1	a4.s1	a5.sx	a6.sx
kroon-s	Telefonid on esialgu kallid, hinnad jäävad 20 000 - 23 000 <krooni> piiridesse.	a1.sx	a2.sx	a3.s1	a4.s1	a5.sx	a6.sx
kroon-s	Samuti eile odavnenud Eesti Telekomi aktsia kallines täna 2,4 protsenti, tõustes läbi aegade odavamalt 52 <krooni> tasemelt 53,25 kroonini, saavutades käibeks 1,17 miljonit.	a1.sx	a2.sx	a3.s1	a4.s1	a5.sx	a6.sx
kroon-s	Kontrollimisregistrit peab tehnilise järelevalve inspektsioon, mis võib juriidilist isikut karistada kuni 20 000 <kroonini> küündiva trahviga.	a1.sx	a2.s2	a3.s1	a4.s1	a5.s2	a6.sx
kroon-s	paetil oli juhtunukohta vaid üks kommentaar - "<kroon> devalveeritakse niikuinii".	a1.s2	a2.s2	a3.s1	a4.s5	a5.s2	a6.s1
kroon-s	Samuti on välja pandud 5 miljoni peeso (umbes 34 000 Eesti <krooni>) suurune autasu tapmiste informatsiooni eest.	a1.s2	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Kui dividendi saajale ei ole dividend maksustatav tulu, siis tõendi read: Mitteresidendile makstud dividendilt kinnipeetud tulumaksu määr protsentides, Mitteresidendile makstud dividendilt kinnipeetud tulumaksu summa <kroonides> ning Tulumaksu kinnipidamise kuupäev jäetakse ära.	a1.s2	a2.s2	a3.s1	a4.s7	a5.s2	a6.s1
kroon-s	Ja võttes kuu töötundide hulgaks 160, saame keskmiseks tunnihinnaks (40 000 x 12)/(10x160) = 300 <krooni> tunnist.	a1.s2	a2.sx	a3.s1	a4.s1	a5.sx	a6.sx
kroon-s	Riik teeb põlevkivitööstusele maksusoodustusi vähemalt 500 000 <krooni> päevas ja hoiab seega põlevkivienergia hinda kunstlikult madalal.	a1.sx	a2.sx	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Rootsi valitsuse otsene abi kommertspankadele ulatus 60,5 miljardi Rootsi kroonini (4,4%) ja Norra valitsuse abi 20 miljardi Norra <kroonini> (2,6%).	a1.sx	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Korterite hinnad algavad 10 500 <kroonist> ruutmeetri kohta.	a1.s2	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Sellest peaks tulema 13,8 miljonit <krooni> riigieelarvesse ja 8,26 miljonit krooni kohalikesse eelarvetesse.	a1.s2	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	"Selle viljahinnaga – 1,5 <krooni> kilost – ei oska me enam toota," ütles Pärnpuu.	a1.s2	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	ERA Pangaga arvelduskrediidi lepingu sõlminud isikud võivad lasta oma pangakonto iga kuu 3000 kuni 20 000 <krooniga> miinusesse.	a1.s2	a2.s2	a3.s1	a4.s7	a5.sx	a6.sx
kroon-s	Mäletan isegi kui palju see maksis <krooni> ajal tänu anekdoodile: Arnold Rüütel ostis uue auto.	a1.sx	a2.s2	a3.sx	a4.s1	a5.s2	a6.s1
kroon-s	Nõmmoja avaldas imestust, kuidas võis Murd 31. oktoobril sõlmida lepingu firmale Lamor INKO-Balti pangast kuue miljoni <krooni> laenamiseks linna arvelt, samas kui linnavalitsus oli poolteist kuud varem nõudnud samalt pangalt sama suure summa tagasiarveldamist Maapanka.	a1.sx	a2.s2	a3.s1	a4.s1	a5.s2	a6.s1
kroon-s	Muidugi võib küsida, kas üleüldse on arukas n-ö seebika eest maksta isegi 350 eurot (5500 <krooni>)?	a1.sx	a2.sx	a3.sx	a4.s1	a5.sx	a6.sx
kroon-s	7 kuud tagasi teostas kirurg hambajuure resektsiooni (hambal kunagi tehtud juureravi ja hambal <kroon>) Igeme peal enne ja peale resektsiooni mädapunn.	a1.sx	a2.sx	a3.sx	a4.s1	a5.sx	a6.sx
kroon-s	"Aga kuna küsimus on niivõrd oluline Eesti ikkagi loobub <kroonist>, siis on diskussiooni algatamine tähtis," leiab Sõerd.	a1.sx	a2.sx	a3.s2	a4.s1	a5.sx	a6.sx
kroon-s	Maxima Eesti avalike suhete juhi Erkki Erilaidi sõnul on tõenäoline, et need, kel on tänaseks veel mõned <kroonid> või sendid taskusse jäänud, ostavad nende eest pigem tikke, kui viivad panka.	a1.s2	a2.s2	a3.s1	a4.s1	a5.s2	a6.s1
kroon-s	Isegi kui mõni küna selle käigus põhja läheb, ei ole sellest suurt midagi, niikaua, kuni me võime end kustsuda Looduse <Krooniks>!!!!	a1.s3	a2.sx	a3.s4	a4.s8	a5.s3	a6.s3
kroon-s	Tallinna börsil liikusid enamuse aktsiate hinnad täna loiu kauplemisaktiivsuse juures negatiivses suunas, miljoni <krooni> piiri ületas vaid Hansapanga ja Eesti Telekomi aktsiatega sooritatud tehingute käive.	a1.sx	a2.s2	a3.s1	a4.s1	a5.sx	a6.sx
kroon-s	Kui Vabariigi Presidendi palk on praegu 79 019 krooni ja eelnõu järgi on 81 362 krooni, siis muudatus on natuke üle 2300 <krooni> aastal 2011.	a1.sx	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Töötasu vähendamine 1800 kroonilt 1500 <kroonini> tähendab kulude 16,67 protsendilist kokkuhoidu.	a1.sx	a2.sx	a3.sx	a4.s1	a5.sx	a6.sx
kroon-s	Nimelt pidid krediidiasutused tõstma oma aktsiakapitali 1. aprilliks 25 miljoni kroonini ning omavahendite hulga 50 miljoni <kroonini> eelmise aasta lõpuks.	a1.sx	a2.sx	a3.s1	a4.s2	a5.sx	a6.sx
kroon-s	<Krooniks> teekannuvahetus.	a1.sx	a2.sx	a3.sx	a4.s1	a5.sx	a6.sx
kroon-s	Kui meile kolm medalit toonud Salt Lake City mängude ettevalmistamisel toetati talialade liite EOK vahendusel 7,9 miljoni, Torino mängudeks valmistumisel, mis teatavasti lõppesid Eestile kolme kulla võitmisega, 10,9 miljoni <krooniga>, siis Vancouveri mängude toetus spordiliitudele oli 26,7 miljonit.	a1.sx	a2.s2	a3.s1	a4.s1	a5.s2	a6.sx
kroon-s	Oletame näiteks et tahad Photopointi veebilehel olles mingit toodet vaadates selle hinda <kroonidesse> ümber kalkuleerida.	a1.s2	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Tartu maraton jäi tänavu 1,2 miljoni <krooniga> miinusesse.	a1.s2	a2.s2	a3.s1	a4.s7	a5.sx	a6.sx
kroon-s	Senise viie krooni asemel tõuseb eriarsti esmase külastuse tasu 50 <kroonini>, mis on kõrgeim seadusega lubatud määr.	a1.sx	a2.sx	a3.sx	a4.s1	a5.sx	a6.sx
kroon-s	Rakvere Piiritustehas on jätnud tasumata 27,53 miljoni <krooni> ulatuses aktiisimaksu, 4.000 krooni ettevõtte tulumaksu ning tuhat krooni sotsiaalmaksu.	a1.s2	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Kawabe esindaja Erja Järvis mainib, et Ridala projekti kogumaksumus jääb 50 miljoni <krooni> piiridesse.	a1.sx	a2.s2	a3.s1	a4.s1	a5.sx	a6.sx
kroon-s	ühispanga kaardiosakonna spetsialist Rando Siimon ütles, et kaardi hooldustasu on 3500 <krooni> aastas.	a1.sx	a2.sx	a3.s1	a4.s1	a5.sx	a6.sx
kroon-s	Justiitsministeeriumi rendikulud tõusid tänavu mullusega võrreldes keskmiselt kaks korda - 23 <kroonilt> ruutmeetri eest 55 kroonile.	a1.s2	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Näiteks oli eile Sikupilli kaupluses kampaaniahinnaga 798 <krooni> müügil Eltaxi DVD-mängija.	a1.sx	a2.sx	a3.s1	a4.s4	a5.sx	a6.sx
kroon-s	3R kavatsus alandada samaaegselt tulumaksu 20 protsendini ja suurendada üksikisiku tulumaksuvaba miinimumi 2000 kroonini viib riigieelarvest välja ligemale 4 miljardit <krooni>.	a1.sx	a2.s2	a3.s1	a4.s1	a5.sx	a6.sx
kroon-s	See on niivõrd jabur, et kõik küsivad, miks on rendihind ainult 30 <krooni> ruutmeetrilt.	a1.s2	a2.s2	a3.s1	a4.s2	a5.sx	a6.sx
kroon-s	Koalitsioon ei toeta Riigikogu vasakpoolse liikme Tiit Toomsalu eile tehtud ettepanekut suunata Eesti Panga 542 miljoni krooni suurusest mullusest kasumist 406 miljonit <krooni> riigieelarvesse.	a1.s2	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	100 <krooniga> müün ära :)	a1.sx	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Eesti on samasuguses olukorras nagu Läti, kus laual on kaks varianti, kas kärpida kulutusi, mis toob kaasa hindade languse ehk deflatsiooni, või siis devalveerime <krooni> ning Arengufondi nõukogu esimees Indrek Neivelti sõnul praegu rohkem variante polegi.	a1.s2	a2.s2	a3.s1	a4.s5	a5.s2	a6.s1
kroon-s	3) 250 000 <krooni> juhul, kui toetust taotletakse § 5 lõike 1 punktis 3 nimetatud tegevuse kohta.	a1.sx	a2.sx	a3.sx	a4.s2	a5.sx	a6.sx
kroon-s	Mõne <krooniga> võin ehk mõõda panna aga enamvähem selline summa on.	a1.sx	a2.sx	a3.sx	a4.s1	a5.sx	a6.sx
kroon-s	Kümne aasta vältel on Taani valitsus ning mitmesugused organisatsioonid andnud Leedule eri projektide elluviimiseks 1,3 miljardit Taani <krooni> (147 miljonit dollarit).	a1.sx	a2.s2	a3.s1	a4.s4	a5.sx	a6.s1
kroon-s	Mis oleks kuningas ilma <kroonita>?	a1.sx	a2.sx	a3.sx	a4.s1	a5.sx	a6.sx
kroon-s	Eestisse jätkus erilisust vaid paarkümmend pudelit, aga arvestades ligi tuhande <kroonini> küündivat hinda, ongi see mõeldud vaid suurtele fännidele.	a1.sx	a2.s2	a3.s1	a4.s2	a5.s2	a6.s1
kroon-s	Appi tulid ettevõtjad : Virumaal on Tarva õlu, vein, leib, vorst ja kali, mille iga müüdud eksemplari pealt kukub sent või <kroon> Tarva kassasse.	a1.s2	a2.s2	a3.s1	a4.s1	a5.s2	a6.s1
kroon-s	Kütuseturu spetsialistide hinnangul peaksid hinnad siiski stabiliseeruma 10 <krooni> piirimail ning suuremaid tõuse ega langusi praegustelt tasemetelt oodata ei ole.	a1.sx	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Eesti vabaks saamisest mäletan niipalju, et kui me juba vabad olime, siis ma seisin ema käe otsas panga ukse taga järjekorras, kus rublasid <kroonideks> vahetati - ja no jube pikk saba oli.	a1.s2	a2.s2	a3.s1	a4.s1	a5.s2	a6.s1
kroon-s	Rahanduskomisjoni liige Remo Holsmer põhjendas riigilõivu tõstmist KUKU raadio uudistes umbes selliselt (ma söna-sönalt ei mäleta), et "siiani kehtivad riigilõivud on ajast kui lõivud arvutati sendise täpsusega ümber <kroonidest> eurodeks.	a1.s2	a2.s2	a3.s1	a4.s1	a5.s2	a6.s1
kroon-s	" Kui nii siis nii...kuningas loobus <kroonist> ja nüüd on aeg täita võimu vaakum uue valitsusega...	a1.sx	a2.sx	a3.s2	a4.s1	a5.sx	a6.sx
kroon-s	Keraamiline <kroon> ei sobi mälumishammastele.	a1.sx	a2.sx	a3.sx	a4.s1	a5.sx	a6.sx
kroon-s	Põhikulutused on seotud veehaarde rajamisega ja vee tõstmisega maapinnale ning moodustavad meie oludes mitte üle 0,5 <krooni> kuupmeetrilt.	a1.s2	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Ümardamisreegli kohaselt tuleb <kroonid> eurodesse ümber arvestada ühe sendi täpsusega, arvestades jagamistehte kolmandat kohta pärast koma.	a1.s2	a2.s2	a3.s1	a4.s1	a5.sx	a6.sx
kroon-s	Teine suurem Toyota müüja Amserv Auto on Corolla ostjalt nõus ostma kasutatud auto kuni 25 000 <krooni> kallimalt.	a1.sx	a2.sx	a3.s1	a4.s4	a5.sx	a6.sx
kroon-s	Jakko Väli vaidlustas Tallinna linnakohtu 28. veebruari otsuse, mis mõistis teistkordse purjuspäi sõidu eest aastase tingimisi vangistuse, võttis aastaks juhiloa ja mõistis 1400 <krooni> riigituludesse.	a1.s2	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Teostame hammaste ravi ja eemaldamist, kirurgilisi operatsioone, igemete ravi, proteesimist, (tehishammaste istutamist, metallo- ja täiskeraamilised sillad, <kroonid>, laminaadid, suust eemaldatavad proteesid).	a1.s1	a2.s1	a3.s3	a4.s1	a5.s1	a6.s2
kroon-s	Taotlused 15 miljoni <krooni> saamiseks Phare CBC programmist lähevad uuesti hindamisele, kuna eelmisel aastal ei suudetud seda raha ära jagada.	a1.sx	a2.s2	a3.s1	a4.s1	a5.s2	a6.sx
kroon-s	Plaani koostamise eest tuleb maksta 121 <krooni> tunnist.	a1.s2	a2.sx	a3.s1	a4.s1	a5.sx	a6.sx
kroon-s	Samas kinnitab kakskümmend aastat juhatuses olnud ja kolmandat korda koguduse juhatuse esimeheks valitud Valdek Tagel, et keskmine liikmeannetus on pisut tõusnud, olles hetkeseisuga 522 <krooni> sentidega.	a1.sx	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Ainus, mis Siemensi uut mudelit lihtsatest telefonidest eraldab, on aparaadi peaaegu 6000 <kroonini> küündiv hind.	a1.sx	a2.sx	a3.s1	a4.s1	a5.s2	a6.s1
kroon-s	Ainuüksi pulmakleit, mille disainis David Emanuel, maksis <kroonides> rohkem kui 3 miljonit.	a1.s2	a2.s2	a3.s1	a4.s1	a5.sx	a6.sx
kroon-s	Artikli põhjal imporditi Eestisse: 1939. a. 7 kuuga 21 983 jalgratast 1 535 418.- <krooni> väärtuses 1938. a. 28 088 jalgratast 1 875 281.- krooni väärtuses 1937. a. 21 058 jalgratast 1 354 386.- krooni väärtuses 1936. a. 9874 jalgratast 585 787.- krooni väärtuses Eestis toodeti: 1939. a. I poolel ca 6000 jalgratast 1938. aastal ca 5000 jalgratast	a1.sx	a2.sx	a3.s1	a4.s1	a5.s2	a6.sx
kroon-s	Inimene ei ole looduse <kroon>, vaid on osa loodusest.	a1.s3	a2.sx	a3.s4	a4.s8	a5.s3	a6.s3
kroon-s	Rõivase sõnul tõuseb tavajäätmete ladestamise tasu seniselt 156,5 kroonilt tonni kohta 188 kroonile varem pakutud 470 krooni asemel ning põlevkiki tuha ja poolkoksi ladestamine tõuseb 15,65 <kroonilt> tonni kohta 18,78 kroonini varem pakutud 62,59 krooni asemel.	a1.s2	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	"Iiah" on pilt maailmast, kus on end looduse <kroonina> kehtestanud inimene, kes on aga valitsejana läbi kukkunud.	a1.sx	a2.sx	a3.sx	a4.s1	a5.sx	a6.sx
kroon-s	3) paragrahvi 2 lõikes 6 asendatakse sõnad 15 647 <krooni> sõnadega 1000 eurot ja sõnad 3912 krooni sõnadega 250 eurot;	a1.s2	a2.sx	a3.sx	a4.s6	a5.sx	a6.s1
kroon-s	-1 ümardab hinna 10 <krooni> täpsusega ning -2 100 krooni täpsusega	a1.s2	a2.sx	a3.s1	a4.s1	a5.s2	a6.sx
kroon-s	Täna koalitsiooniläbirääkimisi pidavate erakondade pakkumised olid järgnevad: Res Publica hindas valimiseelselt arsti õiglaseks palgaks 15 000-20 00 krooni kuus (90-120 <krooni> tunnis), õe õiglaseks palgaks 8000-10 000 krooni kuus ( 48-60 krooni tunnis) ja hooldajatele 6000 krooni tunnis (36 krooni tunnis).	a1.sx	a2.s2	a3.s1	a4.s1	a5.sx	a6.sx
kroon-s	Tegelikult peaks igal kodanikul olema see õigus, oma prügi ise ära viia ja ilus oleks kui talle selle teo eest veel makstaks sümboolne 5.- <kroonigi> (min. kogus kilekotitäis).	a1.sx	a2.s2	a3.s1	a4.s4	a5.sx	a6.sx
kroon-s	Arvestuskäik tehakse <kroonides> ning tagastamisele või tasumisele kuuluv summa arvestatakse eurodeks üldiste konverteerimisreeglite alusel.	a1.sx	a2.s2	a3.s1	a4.s1	a5.sx	a6.sx
kroon-s	Vähendada Salme Kultuurikeskuse haljasala heakorra investeeringuid 3 miljoni krooni võrra suurendades Salme Kultuurikeskuse investeeringuid 2 miljoni 700 tuhande <krooni> võrra ning eraldada 300 tuhat krooni Põhja-Eesti Päästekeskusele omavalitsuslike ülesannete täitmiseks.	a1.sx	a2.s2	a3.s1	a4.s2	a5.s2	a6.s1
kroon-s	Tema hinnangul ootab panka kokku 1,6 miljardi dollari ehk 21 miljardi Eesti <krooni> suurune rahakaotus.	a1.s2	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	See tähendab, et tegelikult me ei räägi siin 10 või 20 miljonist kroonist, olgem siirad, rääkigem 40--50 miljonist <kroonist> aastas, millele lisandub kolmandal või neljandal aastal veel püsivalt 40--50 või isegi 70 miljonit krooni.	a1.sx	a2.s2	a3.s1	a4.s1	a5.sx	a6.sx
kroon-s	Aastase Eesti krooni hoiuse puhul on SEB Eesti Ühispanga uueks intressiks 3,7 protsenti, eurohoiusel samuti 3,7 protsenti, dollarihoiusel 4,6 protsenti, Rootsi <kroonil> 2,98 protsenti ja Suurbritannia naela aastase hoiuse puhul 4,95 protsenti, teatas pank.	a1.sx	a2.sx	a3.sx	a4.s2	a5.sx	a6.sx
kroon-s	Eelmisel aastal 6,8 miljardi <kroonini> ulatunud turismiteenuste eksport jõuab sajandivahetuseks optimistlike prognooside kohaselt tasemele, mis on võrdne Eesti järgmise aasta riigieelarve kogumahuga - ligi 15 miljardit krooni.	a1.sx	a2.s2	a3.s1	a4.s1	a5.s2	a6.sx
kroon-s	Gritsenko hinnangul muutus võlausaldajate surve 80 miljoni <kroonini> ulatuvate võlgadega endisele Favora kontsernile väljakannatamatuks ja Killinke püüab menetlust juhtida vajalikus suunas.	a1.sx	a2.s2	a3.s1	a4.s1	a5.s2	a6.sx
kroon-s	Kahjukindlustuse puhul tõi Tropp välja, et suuremaid kasumeid tõi liikluskindlustuse kasumisse pöördumine - kui 2002. aastal oli liikluskindlustuse turg 16 miljoni krooniga kahjumis, siis mullu tõusis 12,3 miljoni <krooniga> kasumisse.	a1.s2	a2.s2	a3.s1	a4.s1	a5.sx	a6.sx
kroon-s	"Me läheme valitsusse terve rea seadusmuudatusettepanekutega, mis puudutavad 2010. aasta eelarve ettevalmistust," selgitas rahandusminister, tuues ühe teemana välja tulumaksutagastuse maksimummäära allapoole toomise 50 000 <kroonilt> aastas.	a1.sx	a2.s2	a3.s1	a4.s1	a5.sx	a6.sx
kroon-s	<Krooni> pani talle pähe Hispaania päritolu Miss Maailm 2015 Mireia Lalaguna.	a1.sx	a2.sx	a3.sx	a4.s1	a5.sx	a6.sx
kroon-s	Keskerakonda kuuluv majandusteadlane Heido Vitsur saadetakse Vikerraadiosse juttu puhuma, teemaks: "Eesti majanduse raske olukord ja kuuldused <krooni> devalveerimisest" (30.01.2009)	a1.s2	a2.s2	a3.s1	a4.s5	a5.s2	a6.s1
kroon-s	Audi 90 typ85 85' 2.0 - 10 000 <krooniga> ostsin ta Kadaka autoplatsilt.	a1.sx	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Küsimuse peale, kas nad peavad mitme miljoni <kroonini> ulatuvat toetust linnalt või riigilt reaalseks, ei taha mehed oletusi teha.	a1.sx	a2.s2	a3.s1	a4.s2	a5.s2	a6.s1
kroon-s	Euro koos <krooniga> hinnasildile Et eurole üleminekul ära hoida täiendavat survet inflatsioonile, on valitsus heaks kiitnud ettepaneku euro kasutuselevõtul ümardada riiklike maksude, tasude ja lõivude konverteerimisel summad maksumaksjatele ja riiklike toetuste saajatele soodsamas suunas.	a1.sx	a2.sx	a3.sx	a4.s1	a5.sx	a6.sx
kroon-s	100 <krooni> eest saab täitsa palju asju!	a1.sx	a2.s2	a3.s1	a4.s1	a5.s2	a6.s1
